Address,Address Tag,Type,Token Balance,Percentage,Txhash,DateTime,Value,Transfer Type
0x5c18ad1e3118654d9149148a5438eb681178fe77,-,Eoa,"5,350,025.48",0.07%,0x1187b14c6bf9c58e4871fccf0fdb4d694494e431b7f4c2cc7fdfd1bf5c4fc676,2024-08-05 01:23:10,"$99,630.90",out
0x7a4404e301431f487ebd988ec0f6a9f51c7b0e7c,-,Eoa,"5,323,883.46",0.07%,0x06cdb33eac39efbbf6286c585838e799d87c9083706546fa116cff0e15d0f8a2,2023-12-20 09:55:38,"$244,111.70",out
0x0c002ae36412e4d87f26c591c801b2b33aab5f89,-,Eoa,"5,323,877.08",0.07%,0x92564231f4ab24c11e96b1e3f1374a98ceea620f11d6f33cc64e436a910a03c1,2023-12-20 09:55:32,"$244,111.46",out
0x89803573876245df1fba481c2f3fa96232b05d8e,-,Eoa,"5,323,870.81",0.07%,0x6779ad4c4745d89e42b77168205d21974554e4e92b476bbbaf0e6c338b9bb7b1,2023-12-20 09:55:17,"$244,111.21",out
0xa5c00ab738c955e78deeb6d21c590a0bc1c7c344,-,Eoa,"5,230,511.04",0.07%,0xc68f72ca2971116d0b95149315886f8cbaa7a83a05a7077d444cb09d9bc0938b,2024-01-04 13:09:49,"$134,523.58",out
0x4d29b613a836f08950030aae10b35eb2cb41452c,-,Eoa,"5,203,597.06",0.07%,0x6d86c19d2e2bc4282c50aa9498a1c5e75025d94c5077f87477586965bc43f662,2024-08-04 19:00:31,"$448,339.05",out
0x4f58d243930045c32a8c700608dcefb5356bd45d,-,Eoa,"5,135,179.11",0.07%,0x8c015bbc8c822639c5e6c436baa6b85e43cd22bbd3720f9f64721a3a7fa8d94a,2023-12-20 09:54:44,"$244,110.97",out
0x2f821d8936d47b2fd15371fb0812fda35396036b,-,Eoa,"4,446,123.22",0.06%,0xcfc892458ad88bf9e84d04ea7514ee523437327ab166416cef3e549c0e847a81,2024-08-05 01:33:58,"$186,435.79",out
0xc7555293af17aca821e1f0fc3e5d3112a85d3ebe,-,Eoa,"4,315,614.30",0.06%,0x34ed8c71c1e6762f2cf4ff90c733a1a9e2c2c21df4b3d99ed7ef6ac76dba8e8b,2024-02-08 03:45:24,"$1,508,619.00",out
0x6fc4c02f087620cad9d49227051bd7594f1541b0,-,Eoa,"4,300,000.05",0.06%,0x0b22ba9b7ee73c55ae33fccc61c34f33f8fa7d6f533dbe186985eac5f3332e0c,2023-12-09 11:39:02,"$49,815.45",out
0xe877e518ea7c8d4f02a12c13ad4997ef4747b3cc,-,Eoa,"4,299,228.49",0.06%,0xd50c67aca09c91aedffc60ef59ef4ddb7e43f05e9bc34024323729ca39ff0da1,2023-12-20 09:56:35,"$244,112.43",out
0x364f818d34b0ef1e69ce337140056faaff8f18e9,-,Eoa,"4,256,778.71",0.05%,0xb4adc82f94eef2531d0807dcd2bdd39fe2f31956af808ec265a7595582bf4e88,2024-08-03 16:02:35,"$161,888.31",out
0xa0fca8fa8e9c6aa77305f94be0e03908d0a42900,BingX,Eoa,"4,236,351.89",0.05%,,,,
0xc5b18c9487406d458648f823ec3f3971d49ab72c,-,Eoa,"4,203,883.36",0.05%,0xfc3c4ca5bcda31055d8110579af44b071b2522621b6f88eea93ee9cc86320e62,2023-12-20 09:56:02,"$244,112.19",out
0x2161217d22fac0188775432f8ba32f1d4272dd19,MaskEX,Eoa,"4,125,765.23",0.05%,0x453a5749f6857f5092081173becd6392ea510707e57688817cbe165156210f6d,2024-08-04 07:56:30,"$1,992,618.00",out
0xc8f797c5744f38c62dfe41e80edc50876b982d2c,-,Eoa,"4,116,929.78",0.05%,0x7e05e9da9c05eb26880f21cd10374ce82058150a00f408e650ad276a4274bfc9,2024-06-18 16:52:58,"$386,305.86",out
0x13c7294a1cb6ce976c501e864c4915cdbdc2ab4b,-,Eoa,"4,110,566.85",0.05%,0x5987bd5c7c8806f9bdd2d17bf618b0365483ca6476f9ee87d5023ae6a313ace9,2023-12-20 09:57:14,"$244,113.17",out
0xb56744350badf7cb4099dfdf18f9903adc2b451a,-,Eoa,"4,110,562.68",0.05%,0x8d13173e451f16e85d1caae79b7b23eec6861a4c67ecd49bcac242c929e61341,2023-12-20 09:57:05,"$244,112.92",out
