Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,是否沉淀
0x514bc8e22d055791995fcf137509be95dc20d48c,-,Eoa,"24,819.34",0.01%,2023/4/18 14:16,0x7f9666961bc7f6c4e0a2946fb96b51ee63ac032b21fd1a8e2c60be088ed0b522,2743361.8,0x514bc8e22d055791995fcf137509be95dc20d48c,0x02b237c08f58cbf203ed9efcafacdaa2f7976226,out,是
0x1c74c7cf21adfff49affd385c11a14dbbb6aa044,-,Eoa,"24,149.99",0.01%,2024/8/12 1:07,0x5bf453f03b0989e462ec6c144e66a4a3a5df977f02b102326b394e06986fe48d,3197627.898,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,0x1c74c7cf21adfff49affd385c11a14dbbb6aa044,in,
0x371b4aeabf297e7946abe3be84a6e27a8174e37d,-,Eoa,"23,323.04",0.01%,2024/4/22 19:36,0x0757a3a6cf2c4035765b900a3cc75a392fa749182673075ce09dd698517597ee,10062166.59,0x371b4aeabf297e7946abe3be84a6e27a8174e37d,0x2361c096f3bbc8c30c471eb7ad8555d5f1750a98,out,
0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,SwissBorg,Eoa,"22,780.11",0.01%,2024/8/10 16:50,0xb1d6b30e7a30b71779c6ac51ca3ce9610a48d24d745a83f52f532491f18122a0,11775.36778,0x3c783c21a0383057d128bae431894a5c19f9cf06,0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,in,
0x0b4c5d0eea0d3db80b1cb3e5c05ec9af4e513538,-,Eoa,"20,004.90",0.01%,,,0,,,,
0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,-,Eoa,"20,000.25",0.01%,,,0,,,,
0xd0850a232bdb374550f1f89d0a56b758ade966e9,-,Eoa,"19,655.78",0.01%,2024/8/2 23:43,0x0cdbdd0c0769a4e9b4ccb6eb408019c8e641f6ca9771f1bad10c4641342aa117,840265.58,0xd0850a232bdb374550f1f89d0a56b758ade966e9,0x0000000000000000000000000000000000002002,out,
0xb2c21bad28e65a48915c125ce3671ce1622b38d6,-,Eoa,"18,510.00",0.01%,2024/7/15 17:05,0x093d25b321bfe962465f347d67594f3066f061981138d3a014fc13808602f17b,3299596.804,0xb2c21bad28e65a48915c125ce3671ce1622b38d6,0x385ebb8adf56f1a912f11f233622ffda44829c11,out,
0x385ebb8adf56f1a912f11f233622ffda44829c11,-,Eoa,"18,509.89",0.01%,2024/7/22 15:07,0xd087d9654d7476216509de8739baca6eaa239b310f18e3e7a8284fe1e531d5fe,8708578.866,0x385ebb8adf56f1a912f11f233622ffda44829c11,0x77ab46e58a208bb3cc75dc707a23c3d4bed5f817,out,
0x0c501d43206b97fa4300f1b0962742b4f938f70e,-,Eoa,"17,303.10",0.01%,2024/8/6 7:50,0x82fa73305d7d5f95ff9aa58ea301840b2bfbd94822f03c245179f1fe6f3bd075,18294.5368,0x0c501d43206b97fa4300f1b0962742b4f938f70e,0xfb2fb548fcc27228cec48ba2afca7cde532c60ee,out,
