Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Amount,From,To,Transfer Type,沉淀地址
0xbc2942fc56df465be150a34b6fa9a02319bc497f,-,Eoa,"610,346.00",0.15%,2024/7/5 7:13,0x7d3d00ccc51001a0940e403609ddf90215060e7570e2a21f4378024976ce01a5,500000,0xbc2942fc56df465be150a34b6fa9a02319bc497f,0x94050dad775354b636f4717add2d099897dd4986,out,
0x9bdb521a97e95177bf252c253e256a60c3e14447,Nexo:Corporate Treasury,Eoa,"590,863.00",0.14%,2024/8/10 23:22,0x2b16d934e9a7c43d7e2e9a50055c6ac67a8a4fe6f409b1e8009979eda69c06df,401000.0094,0x9bdb521a97e95177bf252c253e256a60c3e14447,0x360aac63f509a9bf11cccbfaaf4eb348a3b323cb,out,
0xe0d436d22e1a80d4826024c0e745d381c73faf37,-,Eoa,"588,454.57",0.14%,2024/7/29 15:10,0x45b5a1a30d71a895bca75fc66373e31bd5260ac776eb98f58b3cf6bd58c21f38,30000,0xe0d436d22e1a80d4826024c0e745d381c73faf37,0x88ff269ff96f37b6f476ec257203d490d5784701,out,
0xae01d25c475c8a47fa19f4af787c393efb1dd226,-,Eoa,"577,869.61",0.14%,2024/8/12 5:15,0x0e3a690a92b83c808e6deb24b3cac54fa317604c1b8f98f0da4680a7ada87fbc,14000,0xae01d25c475c8a47fa19f4af787c393efb1dd226,0xb685760ebd368a891f27ae547391f4e2a289895b,out,
0xc932d78bb12344820d50a2bfb94e172dfb37025d,-,Eoa,"570,125.43",0.14%,2024/8/1 18:22,0x237bee99134d64a2ea7334f6bf2b58400ae50587bdbb8460264995382c6ddd38,1094360.262,0xc932d78bb12344820d50a2bfb94e172dfb37025d,0x4d8336bda6c11bd2a805c291ec719baedd10acb9,out,
0x094b4cf43908f0adb3dbdb5025f52470aac3b160,Bitcasino:Hot Wallet,Eoa,"561,516.07",0.13%,2024/8/6 7:47,0xe50e04866165cf8b20b8301a9e7df333178b5d46db21117763597b95cf18bfa2,250000,0x094b4cf43908f0adb3dbdb5025f52470aac3b160,0x5a4e007db625e9341dfba81759b8be38a41d88e3,out,
0xcedb7409e6b06e311b870404e723f9ab2dd8a772,-,Eoa,"549,025.85",0.13%,2024/7/18 16:21,0xed178d7932506aa106cfe9286ed8a4af73f703daa2925c2870faa33f63d8b649,92710,0xcedb7409e6b06e311b870404e723f9ab2dd8a772,0x2ae0df73e8e29eb059d3410c70dd832438470e66,out,
0x42884d3b81c51e29d6852bc72025ba61b38efa95,-,Eoa,"492,337.19",0.12%,2024/8/9 16:43,0x54df499a82e67064c1cc81d3707aaceaf01e9c9c5cb74131499183591b635fa1,10926.57343,0x21cdb79e49eb4ce508a5c91d08486526740eaac9,0x42884d3b81c51e29d6852bc72025ba61b38efa95,in,
0x758be77a3ee14e7193730560daa07dd3fcbfd200,Stake.us,Eoa,"448,530.02",0.11%,2024/8/10 16:58,0x76567eab9678e33e79780512b4d099dcb826c090ed151aa85ca39a17dcbeda8b,12321.92,0x758be77a3ee14e7193730560daa07dd3fcbfd200,0x87afbb1454148ab6917046d10212eb6183144959,out,
0x67bb0670e0e66b50e3bea85601c10abfbfc591fb,-,Eoa,"433,055.08",0.10%,2024/7/25 0:10,0x802312f2d74c9db1f9860ab0494d1c92e9c6d44d28f93ca0dcb6b37d90dd2f39,100395.6102,0xf845f3289f786d5896237c224df363d967ca5bd7,0x67bb0670e0e66b50e3bea85601c10abfbfc591fb,in,
