Address,Address Tag,Token Balance,Percentage,Token
0x30871c6929817500fb5d46203bf63792fb9931cb,-,10000.09,0.00%,BNB
0x006e2d523ec4ec1ad261fbbcd192659f0b35b975,-,10000,0.00%,BNB
0x430b19f04aa885afee205feef5dbf60429f1a9c2,-,10000,0.00%,BNB
0x536d770b8c5e49fb3d4845afc2ad3aa752b01b62,-,9999,0.00%,BNB
0xf815ffa6c2ef93affb64bbc3f2d8b61f1b45d350,-,9997.99,0.00%,BNB
0x122b0b4e0f3adba869cfa8bb765565be9307b386,-,9871.98,0.00%,BNB
0x069ad4b0ada62ad6bf2688e6654827ab637530d5,-,9775.36,0.00%,BNB
0xe422a1c4ab88b9cbe4b917d011e35b538722f54a,-,9699.12,0.00%,BNB
0x74b43b25395685927f8e5a87bcc6cb02e6af6da6,-,9523.5,0.00%,BNB
0xaa5bc284e38d1eed890d6de8fdba10c30967ecd1,-,9314.07,0.00%,BNB
0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,Ceffu:Custody Hot Wallet,8838.06,0.00%,BNB
0x345ffd2d09a1633dcf4856ae0d6f63afaa748187,-,8599.99,0.00%,BNB
0x55b69477c9fd86d5b40a2adc2fc69b372d0cc5eb,-,8395,0.00%,BNB
0x682d748ad7156871ff01f1ab0f116ac17f8f340a,-,7934.5,0.00%,BNB
0x88db104745dae4297231476a62f6f8f9f7481e8d,-,7836.95,0.00%,BNB
0xcec75f3af8b3b0904ba1aeb1f98337cd5350e17f,-,7618.75,0.00%,BNB
0xe0c88ebf917ac4b661d08307dfd83c48e7b8aa2b,-,7501.57,0.00%,BNB
0xc20240109ad5da91e0efcd8009f9aeb6a41b930b,-,7436.43,0.00%,BNB
0xcb907be1d76b3e7672ea6742ccc5fcdbe9bb3530,-,7379.24,0.00%,BNB
0x3e8734ec146c981e3ed1f6b582d447dde701d90c,DeFiWhale,7360.01,0.00%,BNB
0x556603ee938a22a57157741fde2561951d415432,-,7307.06,0.00%,BNB
0x1a24a7d920eb6379c27187a5a1171d216f00b2a4,-,7051.11,0.00%,BNB
0x53bece50c629a5c910a5db2a63a8266fd985392f,League of Kingdoms,6982.5,0.00%,BNB
0xf10ffd1ce9a2f2c1907f30bb874d880a5fcc1b9f,-,6974.68,0.00%,BNB
0x1b53d3927674acc9248d29dcfaf55b797a86490e,-,6951.66,0.00%,BNB
0xc4920f5803553bdaa844ac9b9f54220fa9decabb,-,6923.99,0.00%,BNB
0x81d8068ff88bb058878017d2a613fd55936ff599,-,6754.21,0.00%,BNB
0xff7f2207d6be0d46e05226fa0989703f9af92682,-,6738.85,0.00%,BNB
0x54664c16c3f5d0bc33bf914bc82da9a2275f0ea2,Andyjzd,6682.85,0.00%,BNB
0x2909cdd43edcac43d569586b1bed70cdfd9d50f8,-,6658.48,0.00%,BNB
0xaa5c0f54722bc5a42321346d363a00a2de5a01bd,-,6510.53,0.00%,BNB
0x536b2025e1975da419a8bad66c34c5a16538d6f8,-,6459.03,0.00%,BNB
0x035ad0692c7d5f111a4013c9de041def50c777ad,-,6194.44,0.00%,BNB
0x2fab7f72b4765606897f990c1f734e28eabd36d5,-,6001.79,0.00%,BNB
0xa3c7f558c89d5fd0f3f9dca10e44064aef4c2358,-,5982.72,0.00%,BNB
0xd2cc1bbbb9ab48adb99f6d5bc6cc8ef11d99d25f,THORChain:Vault,5847.12,0.00%,BNB
0x3f479013c0f660754609da8d94518a9c3701c61d,-,5767.69,0.00%,BNB
0xe703e13ed32c7126bfd69b25b3f69a31ad7a7848,Binance Deposit Address,5700,0.00%,BNB
0x813bc3dc7fc8fd882d86f50df142cd797400397e,-,5695.26,0.00%,BNB
0xa7cc7c1522f529320776d27d9340f534d3a73b7f,-,5688.32,0.00%,BNB
0x4dbd466fa5ab2f1cd1830742fe2bdf3da0c29771,-,5650.77,0.00%,BNB
0x70d5ccc14a1a264c05ff48b3ec6751b0959541aa,Binance US:ETH2 Staking,5629.55,0.00%,BNB
0x310f733b477701a3f25a04cd5db480a8e83cd740,-,5524.28,0.00%,BNB
0x4dc29c465ca9aaa62601d08b61d2d1f1802fa46b,-,5500,0.00%,BNB
0x2b3b37ab4da3f1ce83a1f306aac5730260f59c42,-,5497.43,0.00%,BNB
0xa591ee94e53ce82c57e07fab113694c6cdd7d012,-,5493.45,0.00%,BNB
0x4b3b4120d4d7975455d8c2894228789c91a247f8,Anyswap: Bridge Fantom,5396.93,0.00%,BNB
0xf0bab73ca8a0312b0cfa689bfd114c236240c270,-,5312.86,0.00%,BNB
0x8828b5f0687497c46c3114036a5548b0424bd38c,-,5308.76,0.00%,BNB
0x500bea59133e20dc63b7e88913b30348494b84ba,PolarRing,5238.79,0.00%,BNB
0x0480b924a6f1018863e318af33c15f01619b7f2f,-,5227.83,0.00%,BNB
0x9bdb521a97e95177bf252c253e256a60c3e14447,Nexo:Corporate Treasury,5209.2,0.00%,BNB
0x0bc88194e8541c9939fca547b82d03534804e588,-,5205.56,0.00%,BNB
0x1c318213c50a11acb6ccb66d090d5f0f35d831f5,-,5197.34,0.00%,BNB
0x9656d69a61aa8ff00ac4bb3ce66ba427e602b2aa,zeaver,5189.9,0.00%,BNB
0x7694399cba11469fdbba450917f0dec53b1fdf44,-,5143.66,0.00%,BNB
0xaed399a5625ae5b3b5e1a7ce725f62e0f369f4f8,-,5137.7,0.00%,BNB
0x4f2f271e58e94a8e888573c811e626e86b113167,-,5095.71,0.00%,BNB
0xe842e8399301c10d64204477ddab9d3d878e2edf,-,5033.53,0.00%,BNB
0x5c83f38fecccb5745ded87f4a17281c7640b47fb,-,5032.92,0.00%,BNB
0x826465e8fabeac97a06b551c18736cbc1b3dcf7b,-,5027.39,0.00%,BNB
0xabc739ba941ec7f05d59924de4b35ad0ad25a262,-,5000.09,0.00%,BNB
0x4a4fccc972f50af6943dc5f4daa940d9132294fe,-,5000.08,0.00%,BNB
0x0d043128146654c7683fbf30ac98d7b2285ded00,Horizon Bridge Exploiter,5000,0.00%,BNB
0x33e6182c23d68459b08c8be6232b1629c774e051,-,5000,0.00%,BNB
0xfda74104b156380e3b944ee7a74dfb2f3e4f1a59,-,4999.98,0.00%,BNB
0x74ab4929d870b0a3a09b6f3ef0f79a658b31690e,-,4825.27,0.00%,BNB
0xee6d80fe458b22b2992d10d65b3b8908d9895f7a,-,4781.96,0.00%,BNB
0x8249e3d2de40a8ada0981ae6e6218d236a86a169,-,4766.66,0.00%,BNB
0x5616e2b8acff064bf902b8a93cbd5da2ca1edc7c,-,4617.46,0.00%,BNB
0x874fadde5db5b4b513e68251156227fa2cd4198a,-,4612.08,0.00%,BNB
0x581d7c09b3a2dc90f87f1645dd0426a375a4bf1f,-,4470,0.00%,BNB
0x1bd90a87e3dc859ea88400d192bd25568faedf03,-,4467.67,0.00%,BNB
0xbefbd54e79b086fd561fd17056d99b07a6bd33d7,-,4396.46,0.00%,BNB
0xb1cb88b1a1992deb4189ea4f566b594c13392ada,AnySwap: Bridge Avalanche,4389.65,0.00%,BNB
0xdeac61b2e4c646d8bcf8630a15dcf0ba957097ee,Binance Deposit Address,4312.09,0.00%,BNB
0x694446a2647e384fd33a3b6e513a6475f77379af,-,4282.33,0.00%,BNB
0x1d16142ba9b2ab24efd1080fc9e6da31d3f5ef5f,-,4231.85,0.00%,BNB
0x9490a732fc3521bf40f443cf41aab7394019e011,-,4146.1,0.00%,BNB
0x9aee280465448007401f676626aa4b3026d854a9,-,4129.99,0.00%,BNB
0x6b2479c98d7129ad7cff11d0033b95dfdbf99ee9,-,4065,0.00%,BNB
0xfa786328caae16a17bd9cff920d9eee9f6a09cd1,-,4059.43,0.00%,BNB
0xa0d8278bd3b1dd4fa9c975d154eb9b2222d3dbd6,-,4037.4,0.00%,BNB
0x5527a76f1b9636b2eb9cc7e7ba83a1027f253129,-,4002.96,0.00%,BNB
0xe2756bb903c870a1dfc2fd71b3e756d4e057fd38,-,4000.07,0.00%,BNB
0x01c70bdb79dd02a1a6d417eae82aee5b7001980e,-,4000,0.00%,BNB
0xd68e71f7d9703739ba3114a9d16f9bab3a42c4e9,-,3883.84,0.00%,BNB
0x3d160f39ce1a0de4ee1e3684b2b4b2088879c0f8,-,3842.83,0.00%,BNB
0x257c17880e2de7569cd6b431ae3f6350ba9eee2d,-,3762.62,0.00%,BNB
0xa26234ecb3d893769675348505a688a303ea4c2b,-,3750.03,0.00%,BNB
0x9d3bbbb21c392bdaba5fa50e01627559d498e8f3,-,3742.51,0.00%,BNB
0xf3f5c252e8acd60671f92c7f72cf33661221ef42,KryptoNite,3713.59,0.00%,BNB
0x940e2f7c54cf9ce30b3712ce62ca9213f86f9be2,-,3709.89,0.00%,BNB
0xd382367c64284179cfb883f95f1cfb95fc0a9903,-,3662.01,0.00%,BNB
0x1cda6d58ee2a477051acb1767cac8329f1356e84,-,3633.64,0.00%,BNB
0x0f4c0d71dceb8bf8d68db2ec2dd520d75b342d26,-,3627.41,0.00%,BNB
0xb0eb9a0f78b6e87a94d8a5b34a427888ce3d9aa6,-,3589.19,0.00%,BNB
0xadf4c208d546e7f1ec24cab1ccda9b47b90b8540,Bitkub,3563.21,0.00%,BNB
0x3f69e5541c565db12de014a63cb88042406e3567,-,3500,0.00%,BNB
0x34c37b19f9455949072e2f8b2260213f72830239,-,3467.3,0.00%,BNB
0x81aa42257c3eb994e3b2617e08a98ca9dac3e490,-,3467.25,0.00%,BNB
0xf627ddef065847741d877542cee9a634fd38d4d8,-,3424.26,0.00%,BNB
0xc13e474a98cb4d4911d00062fba9f11478a890c2,-,3350.64,0.00%,BNB
0xe1a5b6493054d36ddac337c2b2f407423bf08a9f,-,3345.95,0.00%,BNB
0xe1c33d3eea42227478c39f43dd9a0501887c5a6d,-,3290,0.00%,BNB
0xe2c3da7fca5d851c28539fa98db2167d1bdf95bb,-,3245.58,0.00%,BNB
0xb41854a6e85c8ba42582f4294038e104de40ad87,-,3207.04,0.00%,BNB
0x6d17b3f12059eb2ee0b1dccc79dad77bcba870dc,-,3206.42,0.00%,BNB
0x1b847af828e50ce77b91c8b20b5a27bf69f85e03,-,3178.2,0.00%,BNB
0xe17009da9bae7198147994989a566df213409036,-,3137.7,0.00%,BNB
0x4001467f8adf381eb21d71384e2ad3278a886136,-,3131.85,0.00%,BNB
0x89c9155fd38d0b311db4668b93de181734ded24a,-,3097.86,0.00%,BNB
0xd2146f2a1b06bf08731c6087db638bbd09b85d42,-,3093.97,0.00%,BNB
0x7a71114b811c6a6cd85ada5d6cc8487f692c28ef,-,3028.09,0.00%,BNB
0xe7764cef01b22a5590677a63969a87867b8ef962,-,3008.64,0.00%,BNB
0x4440199211af832776c2deea6c83b7befc8dd2d5,Binance Deposit Address,3001,0.00%,BNB
0x9c9571bb285cdee35cb5d8a92779190f376ebdde,eth2-depositor,3000.96,0.00%,BNB
0xe8fbda2ac282a0ebb73d3f4089ad130312edb8da,Bitkub:Cold,3000,0.00%,BNB
0xcdadbfafb042810aae6a729df9246e71213423f6,-,2999.99,0.00%,BNB
0x0f816a0f546602f86ce101774c6d7d8279adceb1,-,2999.18,0.00%,BNB
0xb005741528b86f5952469d80a8614591e3c5b632,-,2994.97,0.00%,BNB
0xa6b65e3e90236f1931f02ce71c813798ea6b3256,-,2970.04,0.00%,BNB
0xe19646f4399674c7fe5f89e23bb24fcb9f7a4d91,-,2952,0.00%,BNB
0x23c39d936d03c60314118086977a5726a1f35163,-,2948.99,0.00%,BNB
0x9e040f99fc5cd36d2c6174bee0bb063610b6a204,-,2944.82,0.00%,BNB
0x314a5aae2040b39a7ee7f9fb8918153e1d8936de,-,2929,0.00%,BNB
0x09cfe6ab4e5646237f74586120fd1f0f80dace67,-,2909.21,0.00%,BNB
0xf797315148d79c9f147e63e469c28bfed77de182,-,2906.28,0.00%,BNB
0xe584448f78e2b564deb4b66168b962676edeb484,-,2876.99,0.00%,BNB
0x5c9e5571b17d91e6accd4f0c29bbe199af1f7b09,CryptoRelief India:Crypto Relief Fund,2853.56,0.00%,BNB
0x4f8f58a7fd483fa29cbff91ca8d963a3ea046b75,-,2843,0.00%,BNB
0xe62ab5d141773958e4887e71c43f9ca8ed530db7,-,2841.51,0.00%,BNB
0x6533d3d44e8aa110936d6646617a84570a7d5cde,-,2784.95,0.00%,BNB
0x74aa5387681505c806ff1e972b12cdfd01406828,-,2728.72,0.00%,BNB
0xe443801300e1b04e1ea4e76e37228faee01aab20,-,2711.62,0.00%,BNB
0x50899582199c06d5264eddcd12879e5210783ba8,Bigcoin capital:3ba8(related_level_1),2692.98,0.00%,BNB
0x499a81e794d2021a306ea9d3f4c2a71d4fb33e7e,-,2673.09,0.00%,BNB
0x47ca4e97eabb91bc2b2117fdf2448a9bdc6b0fc2,-,2652.94,0.00%,BNB
0x6884a97f2248e84edae12874056ff3caa5e19aa9,-,2610.94,0.00%,BNB
0x2a564c1582898ee6d48f9339611c0092c03e989d,-,2580.01,0.00%,BNB
0x67cc0809c5fd43a63f6dac0b341b4de2a190b0fd,-,2575.98,0.00%,BNB
0xe7beeef17888c5f3d263abe1acbff33dff46ab93,-,2571.9,0.00%,BNB
0x6dd9811c69d8f4a67ec761786d763f4192f82b6f,-,2567.28,0.00%,BNB
0xce31188cbd1d46bd33d9246f4a66068baf709a40,-,2564.92,0.00%,BNB
0xcf30e858a44358539f13c8d3c7e635ed14354b9e,Binance Deposit Address,2563,0.00%,BNB
0x9d106199867895404f7cf322c74f754324fcdcb6,-,2556.21,0.00%,BNB
0xcf1eb79e01b3b3a5e88bb3dc22ccb11a82f7d7c3,-,2552.95,0.00%,BNB
0x49d7a171f348ca5b217f2e382a686ee1fa75ff4a,-,2544.25,0.00%,BNB
0xb5a94d9bf18a911bf86e20ab2f9d157e899e1c01,Binance Deposit Address,2503,0.00%,BNB
0xe787699fe5c7f11b570784d174059ea3db3119aa,-,2500.15,0.00%,BNB
0x54d3e251ff5630686474704ae897a752d9882ca0,-,2474.68,0.00%,BNB
0x06b603e19790123918ac3f4c21bee5664c3a165e,-,2468.13,0.00%,BNB
0x9621d12d63be2b9fbfb1fb03f623e3d9b52e9df9,-,2448.04,0.00%,BNB
0x32db0a3a1590d232276d43d5c47fa4bb828d2506,-,2442.63,0.00%,BNB
0xe60bdfbdbb7504f3122e669234d717b480503b06,-,2420.11,0.00%,BNB
